,Price (USD),Replies,Likes,Retweets,Tweets
2020-11-06,15570.0,14397.0,138882.0,22070.0,22744.0
2020-11-07,14865.0,10966.0,71135.0,15482.0,16376.0
2020-11-08,15530.07775102,10574.0,79793.0,12749.0,14699.0
2020-11-09,15329.95580394,10786.0,111164.0,22069.0,18424.0
2020-11-10,15299.0,8825.0,83983.0,15511.0,16994.0
2020-11-11,15717.0,13646.0,118616.0,18457.0,19241.0
2020-11-12,16282.61125881,18539.0,162196.0,22510.0,22537.0
2020-11-13,16318.0,15518.0,125018.0,22276.0,22006.0
2020-11-14,16072.0,10427.0,79128.0,16844.0,13115.0
2020-11-15,15991.072746,8643.0,71294.0,11585.0,11961.0
2020-11-16,16716.0,15574.0,163291.0,22790.0,18090.0
2020-11-17,17665.0,52742.0,414313.0,47648.0,27573.0
2020-11-18,17832.0,23705.0,208060.0,31159.0,25350.0
2020-11-19,17812.0,13533.0,114648.0,21791.0,16425.0
2020-11-20,18649.0,20630.0,177639.0,27544.0,19613.0
2020-11-21,18690.81312868,18979.0,132273.0,18395.0,16876.0
2020-11-22,18403.0,13963.0,99212.0,17832.0,14060.0
2020-11-23,18322.071504,16703.0,130790.0,25999.0,17052.0
2020-11-24,19104.0,24099.0,215224.0,34685.0,25350.0
2020-11-25,18808.0,15475.0,133957.0,21880.0,18738.0
2020-11-26,17131.0,23686.0,179037.0,20430.0,21662.0
2020-11-27,17120.0,16269.0,127187.0,24574.0,15791.0
2020-11-28,17696.78580432,12623.0,123696.0,15732.0,13538.0
2020-11-29,18175.0,11475.0,101791.0,15248.0,13150.0
2020-11-30,19728.2444013,27616.0,241258.0,31848.0,27764.0
2020-12-01,18904.320512,23128.0,196306.0,29550.0,22414.0
2020-12-02,19248.596217,14472.0,122260.0,22655.0,17182.0
2020-12-03,19461.0,15977.0,154900.0,21810.0,17656.0
2020-12-04,18688.0,17186.0,103481.0,17293.0,16078.0
2020-12-05,19143.0,11755.0,93566.0,13687.0,13306.0
2020-12-06,19348.0,11529.0,92053.0,15374.0,12890.0
2020-12-07,19207.94799,18225.0,105551.0,21398.0,15898.0
